date,close,high,low,open,volume,MACD,RSI,CCI,DX,Turbulence
2018-01-25,33.23601531982422,33.68815178520769,33.17255608388827,33.52950672127072,19207500,0.9088414058934262,77.38668008434868,103.66549217512559,74.92430803108911,89.006968383337
2018-01-26,33.75954818725586,33.75954818725586,33.275682013972734,33.43432710739558,23380400,0.9337898203447068,80.8260124910834,112.92259122292643,75.6150753995941,99.56884130438831
2018-01-29,33.98957443237305,34.09269417889204,33.553302771427525,33.553302771427525,23625900,0.9610444914444329,82.1132519282519,126.3586601394908,78.58016581477266,71.12239312674743
2018-01-30,33.51363754272461,33.997503562988825,33.29153629771252,33.86265421715825,28993900,0.9334793167335818,71.42827219265982,84.46415414630434,61.919936931223795,184.78752952872668
2018-01-31,32.950462341308594,33.32327484698478,32.79974813446386,33.299479141021344,36512100,0.8563190718559,61.26864914833329,8.386835736700853,36.209778107161334,264.0463363728959
2018-02-01,33.0773811340332,33.40260226040303,32.260359845130345,32.59351489155285,26148500,0.7962318427034845,62.561052781258084,-20.51407941557458,14.698329750333084,209.97707588209562
2018-02-02,32.466590881347656,33.27567803781203,32.418996451236886,32.91872737673905,27224200,0.6913570778518476,53.33712349671485,-60.79111971154826,14.698329750333075,187.79244612085458
2018-02-05,30.761165618896484,32.84734150803441,30.713574208511577,32.41900065914918,52399600,0.4652662060733874,36.95394920854429,-236.641800530689,27.365210711935863,310.5110104252807
2018-02-06,31.863731384277344,31.97478502379825,29.62684522855208,30.40420557568704,55171600,0.37078126837336356,48.061416800782034,-214.9084306598848,41.96946305974829,251.72424235061763
2018-02-07,31.998592376708984,32.68869503125166,31.752692338468087,31.97479667252236,32690800,0.30328732206876907,49.23943008491632,-81.92794771546238,24.289691035450765,193.71137154874893
2018-02-08,30.75322914123535,32.33173983436118,30.71356863114882,32.07790893872383,42982100,0.14760596846392815,40.17721626770885,-137.02218710186258,36.65494177338843,189.24324154451818
2018-02-09,31.356067657470703,31.665423782586327,30.32487956511792,30.935660925995837,51304200,0.07204096088387857,45.41430317516839,-117.00322798410961,40.56522559775531,164.11363453928647
2018-02-12,32.2048225402832,32.45072253016731,31.91133115138479,32.1413663329632,38210700,0.07972356997419539,51.81075666928096,-29.049434068731177,23.92119860691112,152.80605130148646
2018-02-13,32.704566955566406,32.76802621507029,31.90341347270608,32.12551482916161,30999100,0.12469982880003272,55.14374467063414,-2.6595670130894167,17.849194852426102,136.14559542189966
2018-02-14,33.38672637939453,33.52157271655299,32.51418306886726,32.55384357827252,43835900,0.21293383372622543,59.283517522502564,55.96799480146966,4.725436348410358,125.41823882540054
