date,open,high,low,close,volume,MACD,RSI,CCI,DX,Turbulence
2021-04-19,50.65517622587391,50.84278631091308,49.98289731145651,50.459747314453125,2566600,0.46394337947749875,56.49444798622789,60.27025943979157,11.180181597465523,135.2629315785243
2021-04-20,50.029791149597,50.06887930953897,48.68523955820905,48.841583251953125,4532200,0.32905200019826,45.46037316839834,-129.97916439176768,6.897147887540702,64.93429494481884
2021-04-21,48.825957521327545,50.827147625117895,48.759512408476986,50.670806884765625,4283500,0.36553896434688227,55.937227593166504,8.666724192529625,3.0251743867734344,19.36634604186116
2021-04-22,50.02979909010737,50.068887256253234,47.465772840982055,47.62993240356445,12028900,0.14738304927522705,41.62298572589634,-183.9519773816626,11.985791361684655,158.60063440014423
2021-04-23,47.76281853606642,48.84940564689645,47.25470522177269,48.55235290527344,5682300,0.04836699573120029,46.12655930891971,-158.97734973023324,14.182638641976236,164.64230014365202
2021-04-26,48.7477817345326,49.10737016860063,48.41164381251,48.62270736694336,4871600,-0.024148553501774472,46.46578924381304,-91.1851333476329,10.550755665052227,154.6793436289116
2021-04-27,48.677434518846944,49.13082805112175,48.24749150213555,48.9744873046875,3781300,-0.052625315804412764,48.221422025828694,-73.40151173158864,12.458918279498539,136.22023733965915
2021-04-28,49.271527481218826,50.080605894171846,49.01356291439984,49.49040985107422,5584300,-0.03318023623511834,50.77129648426163,2.7989303682866407,0.7355572827206298,119.67072552617859
2021-04-29,49.8890958341708,50.56919064156302,49.58813660115904,50.07670593261719,4366000,0.02920269285233701,53.569560221857714,51.88944638374102,6.7937858428889815,108.84176440897969
2021-04-30,49.599861649868544,49.80310641932767,48.70088740408653,48.85723114013672,4932300,-0.019534627551685446,47.519216635473505,-37.80064120315927,4.593501877708726,107.23060365695616
2021-05-03,49.38879473282108,50.8388798797308,49.34189072055703,50.459747314453125,6327800,0.0703395270920737,54.75157161126389,60.35400718632742,7.770222621706305,112.22642266347637
2021-05-04,50.225232176919,51.8042952180802,49.87345952635986,51.76521301269531,7367200,0.24409187458337556,59.63206456640498,127.63472012924531,17.552826854773688,105.15470267251754
2021-05-05,51.97626421442002,53.34035996904868,51.70266497017227,53.21137619018555,7467100,0.4928044017386526,64.23424935578872,204.63318401485367,30.232708476297194,104.33206217179041
2021-05-06,53.17228943311823,54.00872483850488,52.50783240409421,53.96964263916016,4670600,0.742537130889751,66.39741336233534,200.15989401985718,34.922555677042176,96.71819450362396
2021-05-07,53.43025699766217,54.188522040343,52.984679369821,53.96964263916016,5174900,0.9297347149153694,66.39741336233534,159.8513391410807,36.165681403521084,93.68655081723534
2021-05-10,54.52466125623143,55.18911830095926,53.67259414377237,53.72731399536133,5039000,1.0464731614139922,64.9416273270519,136.4349066147161,42.72298879810028,39.92066676583068
2021-05-11,53.03157892316917,53.86020144410484,52.53128145891409,53.60223388671875,5693400,1.1160313867686185,64.15968131753912,85.48738651940326,26.73158352887446,48.482202865326066
2021-05-12,53.74294146967648,54.01654070617344,52.68762672089332,52.84396743774414,4886200,1.097321773817498,59.48372913143132,68.77620094073585,27.92292955736537,282.9002331568736
2021-05-13,52.73453808922396,53.62569347094624,52.62509837315402,53.21920394897461,3068400,1.100091550619851,60.998534119584725,57.869373946342385,27.03325306753182,217.47244940076774
2021-05-14,53.54752075822392,54.7513635464266,53.44589987317412,54.58720397949219,4817200,1.1988531553852653,65.99071650915191,85.94010751060448,35.702768828329276,163.54621262439133
2021-05-17,54.39177805591619,55.56435156751188,54.30578885461112,55.43146133422852,3607500,1.3299165018854495,68.65709721543071,107.73629667468374,41.141948962580976,137.43155559341426
2021-05-18,55.501806892592434,55.79885666976031,54.33705233336269,54.352684020996094,3523800,1.331389406470926,61.9712483392437,92.46040796216117,42.649023798804414,89.67951861308626
2021-05-19,53.54751309573549,53.86801932151799,52.5860003824041,53.58660125732422,4398500,1.256258847360698,57.675939778225285,19.136394772216516,18.292394686458014,65.49621720563373
2021-05-20,53.51623831594616,53.71948600030554,53.04721024466838,53.35989761352539,3126500,1.164994912400232,56.42948169840034,6.397958824961331,18.292394686458014,89.14082187000747
2021-05-21,53.6882338547606,54.40741085855809,53.58661296205575,53.80549240112305,3855700,1.1157615570982529,58.33545127674415,37.311358232431914,24.190132416650357,107.61936656409455
2021-05-24,54.39958383966032,54.72790891283598,54.012638448157226,54.36832046508789,3420100,1.1093711492765408,60.67540781704118,68.48191245701271,26.839656002170432,112.62805985474003
2021-05-25,54.29796174093442,55.07185847054986,53.90710396338896,53.96964263916016,4419400,1.0599186539088663,58.18272958337556,52.377807919167914,29.680025233423873,126.85221224379923
2021-05-26,53.80548900472861,54.4386767654924,53.32082316023244,54.38395690917969,6059200,1.0421456872957648,60.02087269453755,14.192324092256682,21.05283030670934,121.98979980877533
2021-05-27,54.7392897875543,55.24467224872069,53.8864546250982,54.21811676025391,6256600,1.0031152806356332,58.90473363432092,58.76234286521712,28.13142691952763,114.94934819215048
2021-05-28,54.54978173673934,54.620848332844034,53.4679440293873,54.028602600097656,3815200,0.9459864503266431,57.58685317703406,7.556255557417109,22.013865767983326,112.1163288905457
2021-06-01,54.62085259546671,55.69479208996143,54.368161304093576,55.60003662109375,4139100,1.0158034829523146,64.64940596591222,138.07905730148929,31.104113383230438,33.8096466808548
2021-06-02,55.528962238768194,55.528962238768194,54.37605788179782,54.44712448120117,4797800,0.9669571300271329,57.13265194283408,74.0679637049281,31.10411338323043,0.3485268299339277
2021-06-03,54.76297927620583,55.82902022916692,54.04518025559741,55.75795364379883,4322500,1.0222353094522063,62.47488034169611,116.74919899447016,25.86197949882881,47.220384329564844
2021-06-04,56.065919830971566,56.1764718669774,55.181497518290776,55.56843566894531,3041900,1.0387767761421927,61.28571004655916,138.41685836564167,29.069266943929094,5.698925285219309
2021-06-07,55.56844533599306,55.64741022907246,54.39974443465844,54.67612457275391,2803900,0.9687171907912528,55.891419564351494,54.396536044918065,16.823473333214775,3.2409098179417195
2021-06-08,54.50240366556901,55.0551700218962,53.94174503638607,54.78668212890625,3469400,0.9116070963114566,56.403436335139176,18.832119672252333,10.225276358528507,32.1502108121928
2021-06-09,54.68402390957504,54.88933745519479,54.06808929735108,54.360260009765625,3379200,0.8224574561316018,53.808948788912815,-12.23598716790224,10.225276358528498,43.72700527713385
2021-06-10,55.268370739556026,55.410509958063386,53.6574616046843,53.68904876708984,4022000,0.6896942206076488,49.916737560331434,-54.81497975528588,16.452768375125736,1.8631072047317991
2021-06-11,54.06809448707944,54.502404461281806,53.57060415665824,53.69695281982422,2726100,0.5784482001661786,49.962637444955284,-108.55095840493551,15.020759896496283,7.748189652298461
2021-06-14,53.562705305764005,53.83908544170309,52.61510852229914,52.87569808959961,3712800,0.4191844370084681,45.3155681326674,-190.92289664655917,0.39512516435447603,10.966598846576897
2021-06-15,52.83622734095854,53.24290232739751,52.465085658273786,53.08102035522461,3255000,0.30600708892041695,46.6515436482335,-167.90436781685807,1.7180032513418473,1.83899291711044
2021-06-16,52.91518846981745,53.0020516669968,51.4858978773618,51.79386520385742,5428800,0.11116907376891305,40.046458188298615,-194.36330363506357,14.384560024982559,80.49757352786001
2021-06-17,51.93599696613002,51.95969185483769,49.21956745056036,50.17505645751953,5696100,-0.17188441728293924,33.60274122087323,-223.53248029446704,35.200578293672,203.9670970865118
2021-06-18,49.39329808593419,49.78812861102131,48.86422662823003,48.94319152832031,8745300,-0.4899596035727001,29.687980415591557,-199.71676630786408,37.75592674524078,222.65995006408775
2021-06-21,49.85919530538486,50.49803257576228,49.582815158940775,49.83550643920898,5260000,-0.6623984078761467,35.545620684239395,-130.2293272241817,26.98231268270705,81.25392119794893
2021-06-22,50.11188360292732,50.396162029387845,49.49594902047451,50.14347076416016,4019100,-0.7653843806776024,37.481458224657345,-105.47981035439504,27.727150802135657,68.93816516193976
2021-06-23,50.53830662723141,50.75151245747537,49.827610485358846,49.867095947265625,3254400,-0.8593960612210125,36.42418067681419,-83.48472381167426,22.23405647855451,114.03042113141957
2021-06-24,50.36457786592128,50.40406332597129,49.55912328044723,49.83550643920898,4253700,-0.9257782097399243,36.29814715676824,-78.20092405037538,24.863338433816416,95.2353373117237
2021-06-25,49.94606252306207,50.4356515414992,49.83551045557478,49.9776496887207,4259700,-0.9558977738920973,37.34864413832161,-62.58462086959776,24.330724697844765,82.02913205460402
2021-06-28,49.98553648567204,49.98553648567204,49.09321878741127,49.66967391967773,2727000,-0.99317016870544,35.96477481594378,-71.41753005586094,31.703178950131278,91.62129850764768
