fiscalDateEnding,ticker,Current Ratio,Acid Test Ratio,Operating Cash Flow Ratio,Debt Ratio,Debt to Equity Ratio,Interest Coverage Ratio,Asset Turnover Ratio,Inventory Turnover Ratio,Day Sales in Inventory Ratio,Return on Ratio,Return on Equity Ratio,Quality Score
2018-03-31,CAT,1.3632946500255456,1.1839281804247863,0.0341215969637252,0.8042402645678981,4.126134420623438,22.128712871287128,0.164829389596739,0.797661459760665,457.5876087952359,0.0213038685364165,0.1092989609364724,0.3066460868105372
2017-12-31,CAT,1.34580966172812,1.2147710816531134,0.0200883739927964,0.8211325069514825,4.613857048988829,7.757575757575758,0.1675632130142148,0.9034737472549412,403.9962435090045,-0.0169824069021075,-0.0954223552602759,0.1498923900641081
2017-09-30,CAT,1.4355480060224683,1.3456742462263058,0.047909508551133,0.8001909368635438,4.022717092212197,14.14655172413793,0.1452774949083503,0.767822169996083,475.3704884581049,0.0134037678207739,0.0673833749280092,0.2757148255179246
2017-06-30,CAT,1.3148615504923045,1.2817331958909466,0.0846692496356592,0.8206725257928926,4.599257620101364,10.666666666666666,0.1443255636224684,0.8498082658713251,429.5086487841564,0.0101643102789453,0.0569633806838461,0.2097592661684041
2017-03-31,CAT,1.2863397865026236,1.2361498100235209,0.0557988058621313,0.8238533056519104,4.7018692964380335,3.4049586776859506,0.126655404969761,0.7663510240035235,476.28304597701145,0.0025661194857444,0.0146452752428613,0.1062135172833959
2016-12-31,CAT,1.223289453543548,1.1035894688504515,0.0629496402877697,0.8231286142642964,4.680749029458781,-10.319327731092438,0.1281591347183551,0.8927327606222428,408.85695708712615,-0.0156350396230456,-0.0889091877902108,0.0752449097517858
2016-09-30,CAT,1.2652827204428627,1.0574139976275208,0.0463028865164096,0.7943116672338421,3.879002876318312,4.104838709677419,0.1198921494201722,0.7041569951466554,518.3503146538807,0.0037564461663307,0.0183445190156599,0.0944492049566683
2016-06-30,CAT,1.2362873854982894,1.0688665710186511,0.0851267336202773,0.8045593869731801,4.135832457983193,6.684615384615385,0.1320817369093231,0.8000634383590611,456.2138231795956,0.0070881226053639,0.0364364495798319,0.1316039197820164
2016-03-31,CAT,1.2873545679954224,1.065725729544154,0.0186915887850467,0.7988302450611057,3.99043123245726,3.829457364341085,0.120819339267243,0.7080921921007209,515.4696013765414,0.0034862783659187,0.0174151569277877,0.0933204796427272
2015-12-31,CAT,1.2768843838122097,1.0900845972105784,0.0690115082691868,0.809999744709096,4.285029374029307,-0.6666666666666666,0.1407929335477777,0.8587628865979381,425.030012004802,-0.0010466927063388,-0.0055371733405361,0.0774674179287275
2015-09-30,CAT,1.3656950412263384,1.0737041768280882,0.0582975264196957,0.7977940710911877,3.963324106693508,7.165354330708661,0.1388139649735972,0.7187443946188341,507.8300474170202,0.0047360356595626,0.0235279315551082,0.1338392263361058
2015-06-30,CAT,1.4928922908693274,1.2523236741388737,0.0815433882683746,0.7913353274482624,3.807687807161245,10.088,0.1497653267187082,0.7552435579145621,483.2878032192247,0.008620899297196,0.0414813948045869,0.2020744458998811
2015-03-31,CAT,1.448882029661974,1.1950989987201686,0.0478054656327636,0.7934537519699357,3.858743072750855,14.69767441860465,0.1539823008849557,0.7364244978923878,495.6380471380471,0.0134804218693174,0.0655583068034429,0.263157699723644
2014-12-31,CAT,1.394231803996126,1.1280266886680776,0.0671162607167198,0.8013013544951052,4.052012420876627,8.46031746031746,0.1682077443582385,0.8728390004096682,418.1756312775744,0.0089866676113886,0.0454436880449062,0.1649832269026759
2014-09-30,CAT,1.4151292181666606,1.0575229258037624,0.0743774692812352,0.776346936843102,3.484673006428306,11.7890625,0.160365969131711,0.7346188475390156,496.85629659891737,0.0120372123851907,0.0540296445837539,0.2060744005132322
2014-06-30,CAT,1.3878484247335328,1.1222890958609326,0.0752160317406946,0.7617702984275906,3.207901802838512,12.833333333333334,0.1611121864574675,0.7927996936039832,460.3937198067633,0.0113974062645883,0.0479957805907172,0.2162180470700287
2014-03-31,CAT,1.3910239970690603,1.029089576845576,0.0694999084081333,0.7586525587402396,3.1533119921201678,13.2,0.1568894628956005,0.7446461824953445,490.16567677399183,0.0109482564546133,0.0455060329967988,0.2100714408619055
2013-12-31,CAT,1.40436678023226,1.0747701212587464,0.0945158808660292,0.7540755748209574,3.076161645283744,13.724770642201834,0.1696428571428571,0.8487920792079208,430.0228630085853,0.0119086882774217,0.0485800778434481,0.2208192001003887
2013-09-30,CAT,1.3766956282839384,1.048250283320169,0.1036436690820426,0.7917201393344945,3.8152954168967423,11.870689655172416,0.1538064900540837,0.7431302270011948,491.1655948553054,0.0108969658080484,0.0525124240750966,0.2008620462719141
2013-06-30,CAT,1.3638490591263075,1.0214913600053477,0.1059193154851432,0.7976766809728183,3.955337381533398,12.275,0.1673361945636624,0.788969688242494,462.628673115532,0.0110557939914163,0.0548209522728562,0.2000154200070428
2013-03-31,CAT,1.454579968247394,1.0573962863256714,0.0491475115620901,0.7935837192792671,3.853836051220313,10.391666666666667,0.14885681124145,0.6519835478307019,559.8300773300773,0.0099275435809021,0.0482105723979424,0.1883175309548113
2012-12-31,CAT,1.4325344212136666,1.0044535101138874,0.067278599354071,0.8023828256715747,4.0718685831622174,3.7217391304347824,0.1806788805215241,0.8166205698848652,446.9640044108381,0.0078453411262223,0.0398129135295459,0.103731139451632
2012-09-30,CAT,1.4061299061299062,0.9467964467964468,0.039060039060039,0.8019019007963243,4.05977409975397,7.911042944785276,0.1816304215769651,0.6744159544159544,541.2090233186888,0.0187428899614539,0.0948892865130843,0.1940909501449934
2012-06-30,CAT,1.4163655549515557,0.9283407412144662,0.0531768618296933,0.8201107634120534,4.574720582694964,8.720779220779221,0.1955694635178639,0.7194418819188192,507.33771437730405,0.0191809811116864,0.1069948511867386,0.2037577155865095
2012-03-31,CAT,1.3937744809178827,0.8329231515823772,0.0109189226662969,0.8156194880106784,4.571915291602646,7.605678233438486,0.1904585975115602,0.6929319847374478,526.7472248929289,0.0191757639319254,0.1074888102077627,0.1837667824568358
2011-12-31,CAT,1.3365306626229856,0.8406742603237296,0.0527206686179779,0.8408111502376321,5.300706357214934,7.380645161290323,0.2123051540298948,0.87754400440044,415.933557940923,0.0192321899086409,0.1212450516184118,0.1795019945741849
2011-09-30,CAT,1.4618129907209136,0.9423427710365612,0.0880720120548814,0.8109223706713644,4.452972743962717,6.0588235294117645,0.2020908611621896,0.7948237579794616,459.221300742034,0.0149163526945876,0.0819093348397119,0.1557742881588388
2011-06-30,CAT,1.7335176520629518,1.6360272224585284,0.1075712462781795,0.8112238659982883,4.45933836158614,5.51505016722408,0.193313499341131,0.9070340699005194,402.4104629719499,0.0140196438032359,0.0770666865805391,0.2227607608684567
2011-03-31,CAT,1.495139758932043,1.1675811120231565,0.0330496392621074,0.8022052510280627,4.216960962863252,7.0793103448275865,0.1950532483769412,0.8483514424878231,430.2462183946119,0.0188440507930769,0.0990577242853749,0.2123180303539742
2010-12-31,CAT,1.444595821980018,1.0888283378746595,0.0988646684831971,0.8303030303030303,4.910938654841094,5.176271186440678,0.2000468603561387,0.9751747157609264,374.2919028773131,0.0156044985941893,0.0922949002217295,0.1684488453146201
2010-09-30,CAT,1.4162454157993856,0.984141143820002,0.0513430468827435,0.8323870088575971,5.216021144657924,4.535256410256411,0.180623600791668,0.8607594936708861,424.0441176470588,0.0131079458810551,0.0821388634746365,0.141652176413138
2010-06-30,CAT,1.383744439951476,1.0932066316215123,0.0604023453295592,0.8349463371489804,5.344474686989657,4.003174603174603,0.1770448862959876,1.0044965254121816,363.3661150298426,0.0125355059275764,0.0802395209580838,0.1432870963408035
2010-03-31,CAT,1.4341097898680566,1.154748330346962,0.0388771243959385,0.84665850839622,5.570789532543055,2.4,0.1400163165408933,0.8432045779685264,432.8724126230065,0.0040451424298048,0.026615969581749,0.0982616386880759
