fiscalDateEnding,ticker,Current Ratio,Acid Test Ratio,Debt Ratio,Debt to Equity Ratio,Interest Coverage Ratio,Asset Turnover Ratio,Inventory Turnover Ratio,Day Sales in Inventory Ratio,Return on Ratio,Return on Equity Ratio,Quality Score
2015-03-31,BA,1.2020595048501521,0.4629542493122919,0.9178726668371261,11.351505185934734,31.78688524590164,0.22653029915622602,0.3813450991711682,957.1383001730103,0.01366402454615188,0.16898558057171767,0.26579797881851797
2014-12-31,BA,1.1951443129925772,0.5533614260274697,0.911389342527067,10.433698788228506,24.22222222222222,0.24665819875400713,0.44295919240311404,824.0036695475834,0.014778523760559688,0.1691863819965378,0.2705360038468238
2014-09-30,BA,1.2258100894669575,0.4015863468912112,0.8420234638921568,5.376335193990766,25.658227848101266,0.2566997290967373,0.4266012155212716,855.6,0.014700009713662806,0.09385983047343395,0.22802238288233795
2014-06-30,BA,1.2285007217983088,0.43114794053131855,0.8470513387321134,5.586587013725908,21.28395061728395,0.23771525928162437,0.40366694774167045,904.2107659346545,0.01782460075266614,0.11755920631534031,0.25047356322854797
2014-03-31,BA,1.2338006171193479,0.4091463182354958,0.8402074802074803,5.299035812672177,16.119565217391305,0.22347802347802348,0.38486014997441087,948.3964500462536,0.010537810537810537,0.06646005509641874,0.20890713248809945
2013-12-31,BA,1.2639164044594646,0.48685079439070816,0.8381554665832102,5.221243697478991,15.09375,0.25668281838490015,0.47511185682326623,768.2401412595644,0.013306281903240775,0.082890756302521,0.22188650611197946
2013-09-30,BA,1.2915056360708534,0.5444847020933977,0.9041877569135502,9.559378840353034,18.36842105263158,0.23385077087273995,0.45281280310378275,806.0726143300845,0.012257880443397123,0.12959445871969613,0.25186618967801494
2013-06-30,BA,1.3058851093740016,0.5136211633900616,0.9171254519985667,11.222296040393303,18.010416666666668,0.2368852548023151,0.4585673808221902,795.9571815718158,0.011803542148527,0.14443263353707148,0.25563435873084317
2013-03-31,BA,1.3027197477335435,0.5141899881750098,0.9164151381472022,11.107879924953096,15.525252525252526,0.20888476124139,0.38620486800500037,945.0942498095964,0.012228155715501897,0.14821763602251406,0.26249748273737017
2012-12-31,BA,1.2740429505135387,0.5925481303632564,0.9328766198704104,14.134821885120164,14.11965811965812,0.25087742980561556,0.5043839898280841,723.6550076151461,0.011001619870410368,0.16669507414351456,0.26055562083163725
2012-09-30,BA,1.2549705964715765,0.4340754223840194,0.9081693642862266,10.012124406958355,13.704347826086957,0.23917565209075478,0.45614797512018906,800.1789329522448,0.012360437038276712,0.13626779124934107,0.2354262843431813
2012-06-30,BA,1.215736160188457,0.43590106007067136,0.9277896929958943,13.043246037215713,13.857142857142858,0.2451743366627857,0.4778351839694003,763.8617084826762,0.011851216373552301,0.1666092350103377,0.24748502259211463
2012-03-31,BA,1.2136787313884518,0.48204817818666024,0.9361635808241382,14.936343743783569,13.252100840336135,0.2416682251729942,0.4908363369784349,743.6287261186135,0.011520478773143819,0.1838074398249453,0.24973673550659192
2011-12-31,BA,1.206813005766342,0.6388283180694868,0.9548921061185708,21.729160739687057,12.64516129032258,0.2444802840497087,0.5043734491315136,723.6701309882542,0.01734053459355387,0.3945945945945946,0.3041030670558896
2011-09-30,BA,1.232862500997526,0.4842390870640811,0.9182746113290994,11.413105413105413,14.603305785123966,0.23902754742931112,0.47082937067523695,775.2277634603329,0.014751291075064385,0.18334171275347746,0.2720358098288718
